Player,Year,Age,PA,OPS,HBP,EVavg,Swing%,Sprint speed,Day to Day,10-day DL,15-day DL,60-day DL,Injured
"Betts, Mookie",2018,25,614,1.078,8,92.2,35.6,28.1,0.0,0.0,0.0,0.0,No
"Smith, Mallex",2018,25,544,0.773,8,85.8,49.6,29.8,1.0,0.0,0.0,1.0,Yes
"Hernández, Teoscar",2018,25,523,0.77,3,91.9,49.5,28.6,0.0,0.0,0.0,0.0,No
"Peraza, José",2018,24,683,0.742,9,85.8,49.9,28.8,0.0,0.0,0.0,0.0,No
"Marte, Ketel",2018,24,580,0.769,3,88.8,45.9,28.7,1.0,0.0,0.0,0.0,Yes
"Nimmo, Brandon",2018,25,535,0.887,22,89.9,39.4,28.5,0.0,0.0,0.0,2.0,Yes
"Turner, Trea",2018,25,740,0.76,5,89.1,44.0,30.1,0.0,0.0,0.0,0.0,No
"Pillar, Kevin",2018,29,542,0.708,6,87.3,54.0,27.8,0.0,0.0,0.0,0.0,No
"Ramírez, José",2018,25,698,0.939,8,89.0,38.6,27.4,0.0,0.0,0.0,0.0,No
"Bregman, Alex",2018,24,705,0.926,12,89.4,37.1,27.8,0.0,0.0,0.0,0.0,No
"Gallo, Joey",2018,24,577,0.81,3,94.3,48.6,27.6,3.0,0.0,0.0,0.0,Yes
"Mazara, Nomar",2018,23,536,0.753,4,90.5,46.1,26.8,3.0,0.0,0.0,0.0,Yes
"Andujar, Miguel",2018,23,606,0.855,4,89.2,53.1,27.8,0.0,0.0,0.0,0.0,No
"Swanson, Dansby",2018,24,533,0.699,2,88.0,50.1,29.4,0.0,0.0,0.0,2.0,Yes
"Taylor, Chris",2018,27,604,0.775,9,88.9,47.6,28.6,1.0,0.0,0.0,0.0,Yes
"Wendle, Joey",2018,28,545,0.789,9,88.8,46.7,28.3,0.0,0.0,0.0,0.0,No
"Olson, Matt",2018,24,660,0.788,8,93.3,44.4,25.9,0.0,0.0,0.0,0.0,No
"Duffy, Matt",2018,27,560,0.727,7,86.8,46.5,27.7,3.0,0.0,0.0,1.0,Yes
"Margot, Manuel",2018,23,519,0.676,2,89.4,46.6,29.4,1.0,0.0,0.0,0.0,Yes
"Camargo, Johan",2018,24,524,0.806,6,88.0,49.5,26.3,1.0,0.0,0.0,0.0,Yes
"Conforto, Michael",2018,25,638,0.798,7,88.1,43.2,27.8,0.0,0.0,0.0,0.0,No
"Anderson, Tim",2018,25,606,0.687,4,85.8,54.1,28.8,2.0,0.0,0.0,1.0,Yes
"Bellinger, Cody",2018,22,632,0.813,3,89.8,45.1,28.8,0.0,0.0,0.0,0.0,No
"Mancini III, Trey",2018,26,636,0.715,5,89.9,49.5,27.0,0.0,0.0,0.0,0.0,No
"Rosario, Amed",2018,22,592,0.676,3,87.8,54.3,29.4,0.0,0.0,0.0,0.0,No
"Benintendi, Andrew",2018,23,661,0.831,2,88.6,46.0,27.7,1.0,0.0,0.0,0.0,Yes
"Albies, Ozzie",2018,21,684,0.757,5,86.8,56.8,28.7,0.0,0.0,0.0,0.0,No
"Chapman, Matt",2018,25,616,0.864,9,93.1,41.5,28.3,0.0,0.0,0.0,1.0,Yes
"Hoskins, Rhys",2018,25,660,0.85,9,88.9,39.2,26.3,0.0,0.0,0.0,1.0,Yes
"Schwarber, Kyle",2018,25,510,0.823,1,90.9,41.7,27.1,1.0,0.0,0.0,0.0,Yes
"Moncada, Yoán",2018,23,650,0.715,1,91.0,41.2,28.8,0.0,0.0,0.0,0.0,No
"Pujols, Albert",2019,39,545,0.735,3,88.3,44.5,22.5,4.0,0.0,0.0,0.0,Yes
"Cabrera, Miguel",2019,36,549,0.744,3,90.3,49.6,23.5,6.0,0.0,0.0,0.0,Yes
"Choo, Shin-Soo",2019,36,660,0.826,18,91.9,42.4,26.6,1.0,0.0,0.0,0.0,Yes
"Jones, Adam",2019,33,528,0.727,8,86.2,54.5,26.8,2.0,0.0,0.0,0.0,Yes
"Cruz Jr., Nelson",2019,38,521,1.031,7,93.7,46.2,25.3,0.0,0.0,0.0,0.0,No
"Longoria, Evan",2019,33,508,0.762,7,89.7,46.8,26.4,1.0,0.0,0.0,0.0,Yes
"Fowler, Dexter",2019,33,574,0.755,8,85.5,42.9,27.7,2.0,0.0,0.0,0.0,Yes
"Cabrera, Asdrúbal",2019,33,514,0.783,3,89.1,45.5,25.4,0.0,0.0,0.0,0.0,No
"Blackmon, Charlie",2019,32,634,0.94,9,88.7,49.9,26.8,1.0,0.0,0.0,1.0,Yes
"Cain, Lorenzo",2019,33,623,0.697,6,89.5,44.7,27.8,5.0,0.0,0.0,1.0,Yes
"Turner, Justin",2019,34,549,0.881,14,90.3,45.5,26.1,3.0,1.0,0.0,1.0,Yes
"Votto, Joey",2019,35,608,0.768,4,88.9,41.5,25.1,3.0,0.0,1.0,0.0,Yes
"Gardner, Brett",2019,35,550,0.828,4,87.8,38.7,28.9,1.0,0.0,1.0,0.0,Yes
"Braun, Ryan",2019,35,508,0.848,8,91.5,51.6,26.6,4.0,0.0,0.0,1.0,Yes
"Gordon, Alex",2019,35,633,0.741,19,88.7,48.1,25.4,1.0,0.0,0.0,0.0,Yes
"Andrus, Elvis",2019,30,648,0.706,4,88.4,46.4,26.7,0.0,0.0,0.0,0.0,No
"Ramos, Wilson",2019,31,524,0.767,4,90.0,53.9,22.9,0.0,0.0,0.0,0.0,No
"Santana, Carlos",2019,33,686,0.912,3,91.8,39.5,25.7,2.0,0.0,0.0,0.0,Yes
"Belt, Brandon",2019,31,616,0.742,3,87.3,46.3,24.8,1.0,0.0,0.0,0.0,Yes
"Brantley Jr., Michael",2019,32,637,0.875,7,88.8,43.8,26.4,0.0,0.0,0.0,0.0,No
"Gurriel, Yuli",2019,35,612,0.884,5,89.3,49.7,27.6,0.0,0.0,0.0,0.0,No
"Rojas, Miguel",2019,30,526,0.71,5,87.4,47.1,26.3,1.0,0.0,0.0,0.0,Yes
"Escobar, Eduardo",2019,30,699,0.831,3,87.8,52.6,27.6,0.0,0.0,0.0,0.0,No
"Davis, Khris",2019,31,533,0.68,3,90.2,51.8,25.6,6.0,0.0,1.0,0.0,Yes
"Pham, Tommy",2019,31,654,0.819,5,90.9,38.4,28.7,7.0,0.0,0.0,0.0,Yes
"Martinez, J.D.",2019,31,657,0.94,4,91.4,49.5,26.7,0.0,0.0,0.0,0.0,No
"Reddick, Josh",2019,32,550,0.728,0,86.1,51.3,26.7,0.0,0.0,0.0,0.0,No
"Goldschmidt, Paul",2019,31,682,0.822,2,90.1,46.5,26.6,0.0,0.0,0.0,0.0,No
"Altuve, Jose",2019,29,548,0.903,3,87.4,47.6,28.6,0.0,0.0,0.0,0.0,No
"Hernández, César",2019,29,667,0.741,6,86.0,46.0,28.7,0.0,0.0,0.0,0.0,No
"Segura, Jean",2019,29,618,0.743,8,88.2,47.5,27.5,2.0,0.0,0.0,2.0,Yes
"Castro, Starlin",2019,29,676,0.736,3,88.5,49.2,26.9,0.0,0.0,0.0,0.0,No
"Marte, Starling",2019,30,586,0.845,16,88.6,53.7,29.0,2.0,0.0,0.0,1.0,Yes
"Donaldson, Josh",2019,33,659,0.9,8,92.9,43.9,25.8,1.0,0.0,0.0,1.0,Yes
"Freeman, Freddie",2019,29,692,0.938,6,89.7,52.1,26.5,2.0,0.0,0.0,0.0,Yes
"Grandal, Yasmani",2019,30,632,0.848,5,90.7,38.5,24.2,0.0,0.0,0.0,0.0,No
"Heyward, Jason",2019,29,589,0.772,5,88.8,45.5,27.4,3.0,0.0,0.0,0.0,Yes
"LeMahieu, DJ",2019,30,655,0.893,2,91.9,45.6,26.7,0.0,0.0,0.0,0.0,No
"Moustakas, Mike",2019,30,584,0.845,6,89.5,49.9,25.7,5.0,0.0,0.0,0.0,Yes
"Rizzo, Anthony",2019,29,613,0.925,27,89.0,45.7,25.3,3.0,0.0,0.0,1.0,Yes
"Galvis, Freddy",2019,29,589,0.734,1,88.8,54.4,25.9,2.0,0.0,0.0,1.0,Yes
"García, Avisaíl",2019,28,530,0.796,7,89.5,56.4,28.8,0.0,0.0,0.0,0.0,No
"Ozuna, Marcell",2019,28,549,0.8,1,91.8,44.9,27.4,1.0,0.0,0.0,0.0,Yes
"Villar, Jonathan",2019,28,714,0.792,4,88.9,49.8,27.9,0.0,0.0,0.0,0.0,No
"Santana, Danny",2019,28,511,0.858,6,91.4,55.8,27.7,1.0,0.0,0.0,0.0,Yes
"Crawford, Brandon",2019,32,560,0.654,3,87.8,51.3,25.7,2.0,0.0,0.0,0.0,Yes
"Hosmer, Eric",2019,29,667,0.735,3,90.8,50.0,25.8,0.0,0.0,0.0,0.0,No
"Kipnis, Jason",2019,32,511,0.714,2,88.1,46.3,26.8,0.0,0.0,0.0,0.0,No
"Rendon, Anthony",2019,29,646,1.01,12,90.4,43.1,26.7,1.0,0.0,0.0,1.0,Yes
"Semien, Marcus",2019,28,747,0.891,2,88.9,42.2,28.1,0.0,0.0,0.0,0.0,No
"Springer III, George",2019,29,556,0.974,6,89.8,44.0,28.4,0.0,0.0,0.0,0.0,No
"Vázquez, Christian",2019,28,521,0.797,0,89.4,49.9,25.7,0.0,0.0,0.0,0.0,No
"Wong, Kolten",2019,28,549,0.784,13,86.1,48.0,27.6,2.0,0.0,0.0,1.0,Yes
"Garcia, Leury",2019,28,618,0.688,6,88.2,54.4,28.5,4.0,0.0,0.0,0.0,Yes
"Grichuk, Randal",2019,27,628,0.737,5,89.3,50.2,28.1,2.0,0.0,0.0,0.0,Yes
"Trout, Mike",2019,27,600,1.083,16,90.9,36.8,29.2,4.0,0.0,0.0,2.0,Yes
"Harper, Bryce",2019,26,682,0.882,6,91.9,48.7,28.3,1.0,0.0,0.0,0.0,Yes
"Abreu, José",2019,32,693,0.833,13,92.1,49.5,26.6,0.0,0.0,0.0,0.0,No
"Suárez, Eugenio",2019,27,662,0.93,11,89.3,44.4,25.9,0.0,0.0,0.0,0.0,No
"Santana, Domingo",2019,26,507,0.77,2,89.0,46.8,26.7,1.0,0.0,0.0,0.0,Yes
"Sánchez, Yolmer",2019,27,555,0.639,5,87.1,48.8,27.7,0.0,0.0,0.0,0.0,No
"Arenado, Nolan",2019,28,662,0.962,4,89.4,51.4,25.9,0.0,0.0,0.0,1.0,Yes
"Muncy, Max",2019,28,589,0.889,8,89.8,40.1,27.7,1.0,0.0,1.0,0.0,Yes
"Voit III, Luke",2019,28,510,0.842,9,89.9,47.3,25.7,0.0,0.0,0.0,0.0,No
"Walker, Christian",2019,28,603,0.824,6,91.1,48.7,27.2,2.0,0.0,0.0,0.0,Yes
"Iglesias, Jose",2019,29,530,0.725,3,84.1,55.5,27.1,2.0,0.0,0.0,0.0,Yes
"Bryant, Kris",2019,27,634,0.903,15,87.6,48.5,28.2,5.0,0.0,0.0,1.0,Yes
"Castellanos, Nick",2019,27,664,0.862,5,88.9,54.7,27.9,0.0,0.0,0.0,0.0,No
"Machado, Manny",2019,26,661,0.796,6,91.2,46.7,26.4,0.0,0.0,0.0,0.0,No
"Moran, Colin",2019,26,503,0.751,3,88.2,53.7,25.3,0.0,0.0,0.0,0.0,No
"Pederson, Joc",2019,27,514,0.877,12,91.2,46.1,26.2,2.0,0.0,0.0,0.0,Yes
"Realmuto, J.T.",2019,28,593,0.821,5,90.3,50.7,28.7,1.0,0.0,0.0,2.0,Yes
"Rosario, Eddie",2019,27,590,0.8,0,89.2,59.3,27.1,1.0,0.0,0.0,1.0,Yes
"Yelich, Christian",2019,27,580,1.1,8,93.3,45.2,28.7,4.0,0.0,0.0,0.0,Yes
"Merrifield, Whit",2019,30,735,0.811,5,87.1,49.3,28.6,0.0,0.0,0.0,0.0,No
"Bogaerts, Xander",2019,26,698,0.939,2,90.7,41.1,28.0,1.0,0.0,0.0,0.0,Yes
"Alberto, Hanser",2019,26,550,0.751,4,84.4,59.1,26.9,0.0,0.0,0.0,0.0,No
"Polanco, Jorge",2019,25,704,0.841,4,88.0,44.9,28.2,2.0,0.0,0.0,0.0,Yes
"Calhoun, Kole",2019,31,632,0.792,7,89.5,48.2,25.9,1.0,0.0,0.0,0.0,Yes
"Eaton, Adam",2019,30,656,0.793,13,88.9,44.6,28.3,2.0,0.0,0.0,0.0,Yes
"Profar, Jurickson",2019,26,518,0.711,8,86.7,45.2,26.8,0.0,0.0,0.0,0.0,No
"Báez, Javier",2019,26,561,0.847,0,91.1,55.5,28.6,0.0,0.0,0.0,0.0,No
"Lindor, Francisco",2019,25,654,0.853,3,91.0,51.4,27.5,0.0,0.0,0.0,0.0,No
"Odor, Rougned",2019,25,581,0.722,5,91.1,47.9,28.0,1.0,0.0,0.0,1.0,Yes
"Story, Trevor",2019,26,656,0.917,7,91.0,48.1,29.2,0.0,0.0,0.0,0.0,No
"Vogelbach, Daniel",2019,26,558,0.78,2,88.8,34.0,24.1,2.0,0.0,0.0,0.0,Yes
"Kepler, Max",2019,26,596,0.855,8,89.7,49.4,27.7,6.0,1.0,0.0,0.0,Yes
"Bradley Jr., Jackie",2019,29,567,0.738,12,90.2,48.1,27.6,0.0,0.0,0.0,0.0,No
"Núñez, Renato",2019,25,599,0.771,10,89.9,49.5,27.1,0.0,0.0,0.0,0.0,No
"Ahmed, Nick",2019,29,625,0.753,4,87.8,49.5,28.2,2.0,0.0,0.0,0.0,Yes
"Anderson, Brian",2019,26,520,0.81,14,89.9,47.5,27.0,0.0,0.0,0.0,0.0,No
"Bell, Josh",2019,26,613,0.936,5,92.4,48.1,26.7,0.0,0.0,0.0,1.0,Yes
"Betts, Mookie",2019,26,706,0.915,3,91.0,38.3,27.9,0.0,0.0,0.0,0.0,No
"Smith, Mallex",2019,26,566,0.635,11,85.2,48.6,29.4,1.0,0.0,0.0,0.0,Yes
"Arcia, Orlando",2019,24,546,0.633,1,87.9,47.7,26.4,0.0,0.0,0.0,0.0,No
"Marte, Ketel",2019,25,628,0.981,4,90.0,47.8,27.9,3.0,0.0,0.0,1.0,Yes
"Turner, Trea",2019,26,569,0.85,3,90.4,46.9,30.3,0.0,0.0,0.0,0.0,No
"Pillar, Kevin",2019,30,645,0.719,9,86.4,58.9,28.0,0.0,0.0,0.0,0.0,No
"Ramírez, José",2019,26,542,0.806,2,89.2,42.5,27.9,0.0,0.0,0.0,0.0,No
"Bregman, Alex",2019,25,690,1.015,9,89.3,35.1,27.4,3.0,0.0,0.0,0.0,Yes
"Seager, Corey",2019,25,541,0.818,4,88.8,51.1,26.9,1.0,0.0,0.0,0.0,Yes
"Reyes, Franmil",2019,23,548,0.822,0,93.3,51.5,26.6,2.0,0.0,0.0,0.0,Yes
"Swanson, Dansby",2019,25,545,0.747,5,89.9,45.9,28.7,1.0,0.0,0.0,0.0,Yes
"Newman, Kevin",2019,25,531,0.799,7,85.3,51.0,28.5,0.0,0.0,0.0,1.0,Yes
"Olson, Matt",2019,25,547,0.896,12,92.7,45.4,26.2,0.0,0.0,0.0,0.0,No
"Alonso, Pete",2019,24,693,0.941,21,90.7,46.6,26.5,0.0,0.0,0.0,0.0,No
"Conforto, Michael",2019,26,648,0.857,10,89.2,45.8,27.5,0.0,0.0,0.0,0.0,No
"Frazier, Adam",2019,27,608,0.753,9,87.1,48.1,27.2,2.0,0.0,0.0,0.0,Yes
"Puig, Yasiel",2019,28,611,0.785,8,90.0,52.6,28.2,1.0,0.0,0.0,0.0,Yes
"Soler, Jorge",2019,27,679,0.923,10,92.6,44.1,27.0,0.0,0.0,0.0,0.0,No
"Meadows, Austin",2019,24,591,0.922,7,90.4,42.2,28.1,0.0,0.0,0.0,0.0,No
"Anderson, Tim",2019,26,518,0.865,3,88.3,58.6,28.7,2.0,0.0,0.0,1.0,Yes
"Bellinger, Cody",2019,23,661,1.035,3,91.1,44.6,28.8,2.0,0.0,0.0,0.0,Yes
"Dozier, Hunter",2019,27,586,0.87,3,91.1,44.7,28.3,1.0,0.0,0.0,1.0,Yes
"Mancini III, Trey",2019,27,679,0.899,9,90.3,48.1,26.7,0.0,0.0,0.0,0.0,No
"McMahon, Ryan",2019,24,539,0.779,1,91.9,49.6,26.4,0.0,0.0,0.0,0.0,No
"Rosario, Amed",2019,23,655,0.755,3,89.4,52.0,29.2,1.0,0.0,0.0,0.0,Yes
"Adames, Willy",2019,23,584,0.735,3,88.5,47.0,28.3,0.0,0.0,0.0,0.0,No
"Benintendi, Andrew",2019,24,615,0.774,7,89.1,51.4,27.1,6.0,0.0,0.0,0.0,Yes
"McNeil, Jeff",2019,27,567,0.915,21,89.0,60.1,27.2,1.0,0.0,0.0,1.0,Yes
"Albies, Ozzie",2019,22,702,0.852,4,88.9,55.6,28.6,0.0,0.0,0.0,0.0,No
"Robles, Victor",2019,22,617,0.745,25,83.3,49.9,29.2,3.0,0.0,0.0,0.0,Yes
"Devers, Rafael",2019,22,702,0.916,4,92.5,55.0,27.1,1.0,0.0,0.0,0.0,Yes
"Jiménez, Eloy",2019,22,504,0.828,4,91.2,49.9,27.7,0.0,0.0,0.0,0.0,No
"Torres, Gleyber",2019,22,604,0.872,3,89.1,51.8,26.5,4.0,0.0,0.0,1.0,Yes
"Chapman, Matt",2019,26,670,0.848,11,92.7,42.0,28.1,1.0,0.0,0.0,0.0,Yes
"Hoskins, Rhys",2019,26,705,0.818,11,89.7,39.2,25.9,1.0,0.0,0.0,0.0,Yes
"Schwarber, Kyle",2019,26,610,0.87,5,93.5,43.3,27.1,0.0,0.0,0.0,0.0,No
"DeJong, Paul",2019,25,664,0.762,13,87.0,48.8,27.6,0.0,0.0,0.0,0.0,No
"Moncada, Yoán",2019,24,559,0.915,4,93.1,47.5,27.8,0.0,0.0,0.0,0.0,No
"Acuña Jr., Ronald",2019,21,715,0.883,9,90.6,45.5,29.3,0.0,0.0,0.0,0.0,No
"Fletcher, David",2019,25,653,0.734,0,83.8,36.3,27.5,1.0,0.0,0.0,0.0,Yes
"Guerrero Jr., Vladimir",2019,20,514,0.772,2,89.4,46.8,26.3,0.0,0.0,0.0,0.0,No
"Soto, Juan",2019,20,659,0.949,3,92.0,40.8,27.3,1.0,0.0,0.0,1.0,Yes
"Reynolds, Bryan",2019,24,546,0.88,6,89.5,48.0,28.1,2.0,0.0,0.0,1.0,Yes
"Cabrera, Miguel",2020,37,231,0.746,1,93.2,47.7,23.1,0.0,0.0,0.0,0.0,No
"Cruz Jr., Nelson",2020,39,214,0.992,4,91.6,47.6,25.1,0.0,0.0,0.0,0.0,No
"Peralta, David",2020,32,218,0.772,0,89.2,46.6,27.1,0.0,0.0,0.0,0.0,No
"Longoria, Evan",2020,34,209,0.722,2,91.7,45.0,26.6,1.0,0.0,0.0,0.0,Yes
"Cabrera, Asdrúbal",2020,34,213,0.752,0,89.5,46.1,24.9,0.0,0.0,0.0,0.0,No
"Blackmon, Charlie",2020,33,247,0.804,2,86.9,50.2,26.9,1.0,0.0,0.0,0.0,Yes
